Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
2012,37,Sep 14-16,"$64,824,244 ",-21.80%,"$86,814,721 ",-15%,124,Resident Evil: Retribution
2011,37,Sep 16-18,"$82,870,886 ",34.30%,"$102,167,957 ",24.70%,140,The Lion King2011 3D Release
2010,37,Sep 10-12,"$61,707,602 ",-13.60%,"$81,958,202 ",-11.20%,123,Resident Evil: Afterlife
2009,37,Sep 11-13,"$71,451,514 ",-13%,"$92,274,610 ",-8.70%,122,I Can Do Bad All by Myself
2008,37,Sep 12-14,"$82,159,485 ",36.10%,"$101,041,980 ",27.30%,131,Burn After Reading
2019,38,Sep 20-22,"$113,373,910 ",44.80%,"$123,431,530 ",33.70%,106,Downton Abbey
2018,38,Sep 21-23,"$78,315,568 ",-27.80%,"$92,316,508 ",-21.70%,124,The House with a Clock in Its Walls
2017,38,Sep 22-24,"$108,472,634 ",52.60%,"$117,918,784 ",31%,131,Kingsman: The Golden Circle
2016,38,Sep 16-18,"$71,090,385 ",-26.10%,"$90,021,653 ",-20.20%,126,Sully
2015,38,Sep 18-20,"$96,138,932 ",6.80%,"$112,827,167 ",9.30%,114,Maze Runner: The Scorch Trials
2014,38,Sep 19-21,"$90,003,667 ",28.90%,"$103,238,746 ",18.20%,124,The Maze Runner
2013,38,Sep 20-22,"$69,831,206 ",-2.90%,"$87,331,800 ",-3.90%,141,Prisoners
2012,38,Sep 21-23,"$71,888,652 ",-30.50%,"$90,881,797 ",-23%,123,End of Watch
2011,38,Sep 23-25,"$103,498,944 ",22.70%,"$118,048,412 ",17.30%,141,The Lion King2011 3D Release
2010,38,Sep 17-19,"$84,334,484 ",1.30%,"$100,674,305 ",-1.20%,135,The Town
2009,38,Sep 18-20,"$83,214,524 ",14.30%,"$101,915,572 ",14.10%,132,Cloudy with a Chance of Meatballs
2008,38,Sep 19-21,"$72,805,930 ",-3.10%,"$89,307,263 ",-8.10%,137,Lakeview Terrace
2019,39,Sep 27-29,"$83,354,126 ",-9.50%,"$94,527,125 ",-11.20%,111,Abominable
2018,39,Sep 28-30,"$92,141,186 ",14.80%,"$106,442,479 ",17.20%,130,Night School
2017,39,Sep 29-Oct 1,"$80,260,428 ",-13.60%,"$90,846,336 ",-12.80%,131,Kingsman: The Golden Circle
2016,39,Sep 23-25,"$92,840,344 ",-26.10%,"$104,137,992 ",-24.40%,134,The Magnificent Seven
2015,39,Sep 25-27,"$125,667,878 ",30.90%,"$137,820,669 ",28%,118,Hotel Transylvania 2
2014,39,Sep 26-28,"$95,966,661 ",4.80%,"$107,678,203 ",-0.40%,131,The Equalizer
2013,39,Sep 27-29,"$91,565,449 ",-11.10%,"$108,160,536 ",-9.30%,135,Cloudy with a Chance of Meatballs 2
2012,39,Sep 28-30,"$102,991,094 ",23.60%,"$119,272,334 ",20.10%,122,Hotel Transylvania
2011,39,Sep 30-Oct 2,"$83,299,660 ",-6.30%,"$99,307,078 ",-1.40%,127,Dolphin Tale
2010,39,Sep 24-26,"$88,901,910 ",12%,"$100,709,968 ",4%,138,Wall Street: Money Never Sleeps
2009,39,Sep 25-27,"$79,376,189 ",-3.40%,"$96,863,428 ",-4.40%,137,Cloudy with a Chance of Meatballs
2008,39,Sep 26-28,"$82,148,111 ",12.80%,"$101,343,749 ",11.20%,125,Eagle Eye
2019,40,Oct 4-6,"$142,713,298 ",-15.50%,"$150,554,448 ",-15.80%,107,Joker
2018,40,Oct 5-8Columbus Day wknd,"$193,103,101 ",72.20%,"$203,648,461 ",68.20%,74,Venom
2018,40,Oct 5-7,"$168,979,851 ",74.20%,"$178,863,365 ",69.40%,122,Venom
2017,40,Oct 6-9Columbus Day wknd,"$112,153,933 ",-,"$121,081,241 ",-,67,Blade Runner 2049
2017,40,Oct 6-8,"$97,001,069 ",-5.10%,"$105,557,205 ",-8.10%,132,Blade Runner 2049
2016,40,Sep 30-Oct 2,"$102,190,772 ",-26.90%,"$114,916,308 ",-23.30%,136,Miss Peregrine's Home for Peculiar Children
2015,40,Oct 2-4,"$139,834,346 ",2.60%,"$149,774,721 ",0.20%,124,The Martian
2014,40,Oct 3-5,"$136,249,161 ",22.20%,"$149,452,204 ",18.10%,123,Gone Girl
2013,40,Oct 4-6,"$111,457,653 ",-14.30%,"$126,592,855 ",-11%,132,Gravity
2012,40,Oct 5-8Columbus Day wknd,"$147,590,739 ",62.20%,"$158,700,116 ",49.50%,54,Taken 2
2012,40,Oct 5-7,"$130,018,694 ",62.40%,"$142,194,488 ",49.50%,114,Taken 2
2011,40,Oct 7-9,"$80,038,160 ",-3%,"$95,125,477 ",-,129,Real Steel
2011,40,Oct 7-10Columbus Day wknd,"$91,007,749 ",-,"$106,161,269 ",-,53,Real Steel
2010,40,Oct 1-3,"$82,543,307 ",-5.60%,"$95,043,566 ",-11.30%,140,The Social Network
2009,40,Oct 2-4,"$87,465,911 ",-3.50%,"$107,092,990 ",-5.80%,130,Zombieland
2008,40,Oct 3-5,"$90,629,110 ",43.70%,"$113,697,851 ",34.50%,126,Beverly Hills Chihuahua
2019,41,Oct 11-14Columbus Day wknd,"$152,832,766 ",-,"$161,043,554 ",-,59,Joker
2019,41,Oct 11-13,"$132,906,213 ",5.40%,"$141,301,420 ",3.30%,100,Joker
2018,41,Oct 12-14,"$126,136,778 ",42.10%,"$136,738,283 ",36.10%,126,Venom
2017,41,Oct 13-15,"$88,765,700 ",-4.70%,"$100,461,379 ",-3.70%,135,Happy Death Day
2016,41,Oct 7-9,"$93,110,131 ",-12.80%,"$104,318,625 ",-12.30%,127,The Girl on the Train
2016,41,Oct 7-10Columbus Day wknd,"$106,770,187 ",-12.70%,"$117,974,034 ",-11.40%,69,The Girl on the Train
2015,41,Oct 9-12Columbus Day wknd,"$122,246,820 ",-18.50%,"$133,112,208 ",-20.30%,51,The Martian
2015,41,Oct 9-11,"$106,804,689 ",-18.70%,"$118,992,658 ",-19.30%,112,The Martian
2014,41,Oct 10-13Columbus Day wknd,"$150,009,908 ",25.80%,"$166,940,703 ",27%,63,Gone Girl
2014,41,Oct 10-12,"$131,383,392 ",27%,"$147,462,707 ",26.50%,122,Gone Girl
2013,41,Oct 11-14Columbus Day wknd,"$119,207,873 ",-,"$131,493,515 ",-,54,Gravity
2013,41,Oct 11-13,"$103,432,837 ",-11.80%,"$116,527,523 ",-10.40%,116,Gravity
2012,41,Oct 12-14,"$117,244,701 ",61.20%,"$129,987,942 ",47.70%,117,Taken 2
2011,41,Oct 14-16,"$72,749,806 ",-5.40%,"$87,980,984 ",-5.20%,127,Real Steel
2010,41,Oct 8-11Columbus Day wknd,"$87,413,887 ",-17%,"$103,670,689 ",-16%,52,The Social Network
2010,41,Oct 8-10,"$76,880,100 ",-16.30%,"$92,845,180 ",-15.70%,133,The Social Network
2009,41,Oct 9-12Columbus Day wknd,"$105,261,988 ",15.10%,"$123,465,598 ",9.20%,57,Couples Retreat
2009,41,Oct 9-11,"$91,892,437 ",13.70%,"$110,115,725 ",8%,133,Couples Retreat
2008,41,Oct 10-12,"$80,803,153 ",0.60%,"$101,937,331 ",1.90%,139,Beverly Hills Chihuahua
2008,41,Oct 10-13Columbus Day wknd,"$91,420,183 ",-,"$113,091,916 ",-,60,Beverly Hills Chihuahua
2019,42,Oct 18-20,"$129,825,817 ",-16.80%,"$137,773,594 ",-17%,108,Maleficent: Mistress of Evil
2018,42,Oct 19-21,"$155,990,869 ",104.20%,"$166,083,062 ",73%,111,Halloween
2017,42,Oct 20-22,"$76,408,192 ",-10.10%,"$95,980,741 ",-3%,137,Boo 2! A Madea Halloween
2016,42,Oct 14-16,"$84,988,876 ",-21.90%,"$98,992,813 ",-18.60%,127,The Accountant
2015,42,Oct 16-18,"$108,805,935 ",-5.60%,"$121,579,792 ",-7.70%,108,Goosebumps
2014,42,Oct 17-19,"$115,233,422 ",27%,"$131,793,399 ",26.10%,117,Fury
2013,42,Oct 18-20,"$90,753,518 ",-21.50%,"$104,483,096 ",-19.10%,121,Gravity
2012,42,Oct 19-21,"$115,619,564 ",9.90%,"$129,118,109 ",6.30%,118,Paranormal Activity 4
2011,42,Oct 21-23,"$105,208,900 ",-10.10%,"$121,497,511 ",-7.70%,138,Paranormal Activity 3
2010,42,Oct 15-17,"$117,078,913 ",-6.10%,"$131,587,463 ",-5.10%,144,Jackass 3D
2009,42,Oct 16-18,"$124,637,638 ",55.80%,"$138,588,159 ",38.20%,135,Where the Wild Things Are
2008,42,Oct 17-19,"$79,992,286 ",16.10%,"$100,261,162 ",10.70%,131,Max Payne
2018,43,Oct 26-28,"$90,992,092 ",57.20%,"$105,667,363 ",37.50%,119,Halloween
2017,43,Oct 27-29,"$57,899,380 ",-46.90%,"$76,856,088 ",-38.50%,128,Jigsaw
2016,43,Oct 21-23,"$109,125,994 ",21.50%,"$125,010,284 ",18.20%,132,Boo! A Madea Halloween
2015,43,Oct 23-25,"$89,803,867 ",-7.50%,"$105,775,731 ",-8.80%,110,The Martian
2014,43,Oct 24-26,"$97,071,579 ",4.10%,"$116,024,797 ",12.60%,122,Ouija
2013,43,Oct 25-27,"$93,288,479 ",24.70%,"$103,005,325 ",10.10%,117,Bad Grandpa
2012,43,Oct 26-28,"$74,831,900 ",-17.10%,"$93,548,501 ",-9.60%,119,Argo
2011,43,Oct 28-30,"$90,229,806 ",-23%,"$103,466,351 ",-20.20%,128,Puss in Boots
2010,43,Oct 22-24,"$117,205,902 ",16.10%,"$129,623,238 ",11.60%,126,Paranormal Activity 2
2009,43,Oct 23-25,"$100,949,943 ",-12.90%,"$116,118,451 ",-13.70%,135,Paranormal Activity
2008,43,Oct 24-26,"$115,860,151 ",42.60%,"$134,501,763 ",31.30%,135,High School Musical 3: Senior Year
2018,44,Nov 2-4,"$129,384,786 ",-21.40%,"$145,822,119 ",-19.10%,119,Bohemian Rhapsody
2017,44,Nov 3-5,"$164,643,982 ",121.90%,"$180,275,276 ",102.90%,126,Thor: Ragnarok
2016,44,Oct 28-30,"$74,204,699 ",27%,"$88,827,696 ",19.80%,123,Boo! A Madea Halloween
2015,44,Oct 30-Nov 1,"$58,434,174 ",-21.90%,"$74,128,462 ",-22%,108,The Martian
2014,44,Oct 31-Nov 2,"$74,843,496 ",-35.50%,"$94,999,696 ",-25.80%,120,Ouija
2013,44,Nov 1-3,"$115,987,099 ",-2.40%,"$128,021,451 ",-7.50%,120,Ender's Game
2012,44,Nov 2-4,"$118,833,677 ",18.10%,"$138,368,039 ",20.80%,119,Wreck-It Ralph
2011,44,Nov 4-6,"$100,619,007 ",22.60%,"$114,563,511 ",22.50%,130,Puss in Boots
2010,44,Oct 29-31,"$82,076,962 ",5.90%,"$93,503,374 ",2.90%,125,Saw: The Final Chapter
2009,44,Oct 30-Nov 1,"$77,489,382 ",11.80%,"$90,874,415 ",3.70%,133,This Is It
2008,44,Oct 31-Nov 2,"$69,307,204 ",-41.70%,"$87,673,009 ",-35%,140,High School Musical 3: Senior Year
2018,45,Nov 9-11,"$152,580,543 ",10.70%,"$168,344,121 ",11.10%,113,The Grinch
2017,45,Nov 10-12,"$137,873,693 ",-23.70%,"$151,562,937 ",-20.90%,124,Thor: Ragnarok
2016,45,Nov 4-6,"$180,664,140 ",21.40%,"$191,568,495 ",18.30%,123,Doctor Strange
2015,45,Nov 6-8,"$148,792,362 ",4.30%,"$161,918,615 ",3.10%,112,Spectre
2014,45,Nov 7-9,"$142,643,895 ",-9.70%,"$157,108,227 ",-6.50%,121,Big Hero 6
2013,45,Nov 8-10,"$157,930,421 ",-1%,"$167,996,561 ",-3.20%,124,Thor: The Dark World
2012,45,Nov 9-11,"$159,539,986 ",28.50%,"$173,520,562 ",27%,120,Skyfall
2011,45,Nov 11-13,"$124,195,132 ",-10.10%,"$136,668,947 ",-10.20%,116,Immortals
2010,45,Nov 5-7,"$138,136,720 ",34.20%,"$152,229,980 ",27%,124,Megamind
2009,45,Nov 6-8,"$102,932,989 ",-16.60%,"$119,864,425 ",-15.90%,128,A Christmas Carol
2008,45,Nov 7-9,"$123,379,106 ",30.90%,"$142,496,307 ",25.40%,134,Madagascar: Escape 2 Africa
2018,46,Nov 16-18,"$161,437,498 ",-16.30%,"$174,705,199 ",-12.30%,107,Fantastic Beasts: The Crimes of Grindelwald
2017,46,Nov 17-19,"$192,816,366 ",32.20%,"$199,223,159 ",25.70%,111,Justice League
2016,46,Nov 11-13,"$145,898,093 ",55.80%,"$158,440,850 ",46.60%,122,Doctor Strange
2015,46,Nov 13-15,"$93,635,619 ",-25.50%,"$108,047,802 ",-23.10%,112,Spectre
2014,46,Nov 14-16,"$125,728,488 ",9.20%,"$140,548,635 ",10.40%,108,Dumb and Dumber To
2013,46,Nov 15-17,"$115,112,784 ",-52.10%,"$127,348,048 ",-49.10%,117,Thor: The Dark World
2012,46,Nov 16-18,"$240,504,453 ",12.90%,"$250,086,091 ",12.40%,115,The Twilight Saga: Breaking Dawn - Part 2
2011,46,Nov 18-20,"$213,090,559 ",97.90%,"$222,537,158 ",83.30%,113,The Twilight Saga: Breaking Dawn - Part 1
2010,46,Nov 12-14,"$107,692,567 ",-13.20%,"$121,393,329 ",-13.30%,123,Megamind
2009,46,Nov 13-15,"$124,130,245 ",-7.90%,"$139,985,928 ",-5.90%,128,2012
2008,46,Nov 14-16,"$134,787,672 ",49%,"$148,685,590 ",42.20%,127,Quantum of Solace
2018,47,Nov 23-25,"$203,836,618 ",14.20%,"$216,475,781 ",14.60%,99,Ralph Breaks the Internet
2018,47,Nov 21-25Thanksgiving 5-Day,"$298,630,062 ",16.90%,"$314,861,631 ",17.70%,64,Ralph Breaks the Internet
2018,47,Nov 22-25Thanksgiving 4-Day,"$243,903,928 ",14.80%,"$257,931,535 ",15.70%,64,Ralph Breaks the Internet
2018,47,Nov 23-25Thanksgiving 3-Day,"$203,836,618 ",14.20%,"$216,475,781 ",14.60%,99,Ralph Breaks the Internet
2017,47,Nov 24-26Thanksgiving 3-Day,"$178,495,539 ",-,"$188,835,224 ",-,99,Coco
2017,47,Nov 23-26Thanksgiving 4-Day,"$212,423,997 ",-,"$222,844,449 ",-,60,Coco
2017,47,Nov 22-26Thanksgiving 5-Day,"$255,508,291 ",-,"$267,474,764 ",-,61,Coco
2017,47,Nov 24-26,"$178,495,539 ",21.80%,"$188,835,224 ",19.50%,99,Coco
2016,47,Nov 18-20,"$146,558,755 ",-10.20%,"$157,984,223 ",-9%,121,Fantastic Beasts and Where to Find Them
2015,47,Nov 20-22,"$163,255,301 ",-11.50%,"$173,610,096 ",-10.80%,110,The Hunger Games: Mockingjay - Part 2
2014,47,Nov 21-23,"$184,467,355 ",-14%,"$194,683,879 ",-14%,97,The Hunger Games: Mockingjay - Part 1
2013,47,Nov 22-24,"$214,593,579 ",8.10%,"$226,500,439 ",9%,109,The Hunger Games: Catching Fire
2012,47,Nov 23-25Thanksgiving 3-Day,"$198,595,121 ",33.70%,"$207,815,979 ",25.90%,107,The Twilight Saga: Breaking Dawn - Part 2
2012,47,Nov 22-25Thanksgiving 4-Day,"$235,765,617 ",34.70%,"$244,861,842 ",28.50%,49,The Twilight Saga: Breaking Dawn - Part 2
2012,47,Nov 21-25Thanksgiving 5-Day,"$279,039,688 ",34.40%,"$289,573,641 ",28.60%,50,The Twilight Saga: Breaking Dawn - Part 2
2012,47,Nov 23-25,"$198,595,121 ",33.70%,"$207,815,979 ",25.90%,107,The Twilight Saga: Breaking Dawn - Part 2
2011,47,Nov 25-27Thanksgiving 3-Day,"$148,515,080 ",-,"$165,042,631 ",-,107,The Twilight Saga: Breaking Dawn - Part 1
2011,47,Nov 24-27Thanksgiving 4-Day,"$175,056,305 ",-,"$190,495,014 ",-,50,The Twilight Saga: Breaking Dawn - Part 1
2011,47,Nov 23-27Thanksgiving 5-Day,"$207,648,272 ",-,"$225,149,356 ",-,50,The Twilight Saga: Breaking Dawn - Part 1
2011,47,Nov 25-27,"$148,515,080 ",-19.50%,"$165,042,631 ",-15.20%,107,The Twilight Saga: Breaking Dawn - Part 1
2010,47,Nov 19-21,"$184,491,055 ",-25.30%,"$194,526,066 ",-24.80%,114,Harry Potter and the Deathly Hallows: Part 1
2009,47,Nov 20-22,"$246,948,248 ",59.50%,"$258,576,253 ",57%,123,The Twilight Saga: New Moon
2008,47,Nov 21-23,"$154,817,872 ",10.60%,"$164,744,894 ",1.60%,118,Twilight
2018,48,Nov 30-Dec 2Post-Thanksgiving,"$106,190,738 ",9.80%,"$119,701,329 ",13.80%,104,Ralph Breaks the Internet
2018,48,Nov 30-Dec 2,"$106,190,738 ",9.80%,"$119,701,329 ",13.80%,104,Ralph Breaks the Internet
2017,48,Dec 1-3,"$96,708,952 ",-43.30%,"$105,185,400 ",-43%,110,Coco
2017,48,Dec 1-3Post-Thanksgiving,"$96,708,952 ",-,"$105,185,400 ",-,110,Coco
2016,48,Nov 25-27Thanksgiving 3-Day,"$170,608,751 ",1.70%,"$184,385,596 ",1%,116,Moana
2016,48,Nov 24-27Thanksgiving 4-Day,"$202,563,369 ",1.60%,"$217,250,328 ",0.70%,55,Moana
2016,48,Nov 23-27Thanksgiving 5-Day,"$243,739,138 ",2.40%,"$260,702,622 ",1.50%,56,Moana
2016,48,Nov 25-27,"$170,608,751 ",1.70%,"$184,385,596 ",1%,116,Moana
2015,48,Nov 27-29Thanksgiving 3-Day,"$167,805,985 ",10.50%,"$182,526,007 ",11.40%,86,The Hunger Games: Mockingjay - Part 2
2015,48,Nov 26-29Thanksgiving 4-Day,"$199,324,369 ",11.30%,"$215,717,632 ",13.70%,48,The Hunger Games: Mockingjay - Part 2
2015,48,Nov 25-29Thanksgiving 5-Day,"$238,078,648 ",10.80%,"$256,957,261 ",13.20%,48,The Hunger Games: Mockingjay - Part 2
2015,48,Nov 27-29,"$167,805,985 ",10.50%,"$182,526,007 ",11.40%,86,The Hunger Games: Mockingjay - Part 2
2014,48,Nov 28-30Thanksgiving 3-Day,"$151,851,533 ",-19.90%,"$163,791,775 ",-21.30%,97,The Hunger Games: Mockingjay - Part 1
2014,48,Nov 27-30Thanksgiving 4-Day,"$179,114,437 ",-20.10%,"$189,771,521 ",-22.40%,52,The Hunger Games: Mockingjay - Part 1
2014,48,Nov 26-30Thanksgiving 5-Day,"$214,781,730 ",-20%,"$226,978,340 ",-22.30%,52,The Hunger Games: Mockingjay - Part 1
2014,48,Nov 28-30,"$151,851,533 ",-19.90%,"$163,791,775 ",-21.30%,97,The Hunger Games: Mockingjay - Part 1
2013,48,Nov 29-Dec 1Thanksgiving 3-Day,"$189,483,142 ",-,"$208,125,032 ",-,104,The Hunger Games: Catching Fire
2013,48,Nov 28-Dec 1Thanksgiving 4-Day,"$224,232,953 ",-,"$244,535,600 ",-,50,The Hunger Games: Catching Fire
2013,48,Nov 27-Dec 1Thanksgiving 5-Day,"$268,488,814 ",-,"$292,303,215 ",-,50,The Hunger Games: Catching Fire
2013,48,Nov 29-Dec 1,"$189,483,142 ",88.10%,"$208,125,032 ",81.80%,104,The Hunger Games: Catching Fire
2012,48,Nov 30-Dec 2Post-Thanksgiving,"$100,734,688 ",42.90%,"$114,496,488 ",40.50%,108,The Twilight Saga: Breaking Dawn - Part 2
2012,48,Nov 30-Dec 2,"$100,734,688 ",42.90%,"$114,496,488 ",40.50%,108,The Twilight Saga: Breaking Dawn - Part 2
2011,48,Dec 2-4Post-Thanksgiving,"$70,515,083 ",-,"$81,502,185 ",-,101,The Twilight Saga: Breaking Dawn - Part 1
2011,48,Dec 2-4,"$70,515,083 ",-58%,"$81,502,185 ",-55%,101,The Twilight Saga: Breaking Dawn - Part 1
2010,48,Nov 26-28,"$167,833,958 ",-2.60%,"$181,242,458 ",-2.70%,103,Harry Potter and the Deathly Hallows: Part 1
2010,48,Nov 25-28Thanksgiving 4-Day,"$201,819,715 ",-4.80%,"$215,713,375 ",-4.20%,49,Harry Potter and the Deathly Hallows: Part 1
2010,48,Nov 24-28Thanksgiving 5-Day,"$242,152,785 ",-3.70%,"$257,951,386 ",-3.30%,48,Harry Potter and the Deathly Hallows: Part 1
2010,48,Nov 26-28Thanksgiving 3-Day,"$167,833,958 ",-2.60%,"$181,242,458 ",-2.70%,103,Harry Potter and the Deathly Hallows: Part 1
2009,48,Nov 27-29,"$172,369,237 ",13.20%,"$186,348,522 ",14.60%,109,The Twilight Saga: New Moon
2009,48,Nov 26-29Thanksgiving 4-Day,"$212,001,958 ",14.60%,"$225,057,670 ",15.90%,55,The Twilight Saga: New Moon
2009,48,Nov 25-29Thanksgiving 5-Day,"$251,418,028 ",15.20%,"$266,644,110 ",16.60%,55,The Twilight Saga: New Moon
2009,48,Nov 27-29Thanksgiving 3-Day,"$172,369,237 ",13.20%,"$186,348,522 ",14.60%,109,The Twilight Saga: New Moon
2008,48,Nov 28-30Thanksgiving 3-Day,"$152,333,947 ",-,"$162,603,106 ",-,105,Four Christmases
2008,48,Nov 27-30Thanksgiving 4-Day,"$185,072,958 ",-,"$194,205,391 ",-,53,Four Christmases
2008,48,Nov 26-30Thanksgiving 5-Day,"$218,303,171 ",-,"$228,766,509 ",-,53,Four Christmases
2008,48,Nov 28-30,"$152,333,947 ",122.50%,"$162,603,106 ",92.50%,105,Four Christmases
2018,49,Dec 7-9,"$73,877,715 ",4.60%,"$85,822,147 ",1.10%,100,Ralph Breaks the Internet
2017,49,Dec 8-10,"$70,644,026 ",-15.60%,"$84,873,861 ",-11.40%,108,Coco
2016,49,Dec 2-4Post-Thanksgiving,"$83,749,622 ",-3.50%,"$95,805,897 ",-2.10%,131,Moana
2016,49,Dec 2-4,"$83,749,622 ",-3.50%,"$95,805,897 ",-2.10%,131,Moana
2015,49,Dec 4-6,"$86,761,557 ",27.40%,"$97,833,704 ",25.10%,95,The Hunger Games: Mockingjay - Part 2
2015,49,Dec 4-6Post-Thanksgiving,"$86,761,557 ",27.40%,"$97,833,704 ",25.10%,95,The Hunger Games: Mockingjay - Part 2
2014,49,Dec 5-7Post-Thanksgiving,"$68,103,918 ",-18.90%,"$78,180,686 ",-17.30%,96,The Hunger Games: Mockingjay - Part 1
2014,49,Dec 5-7,"$68,103,918 ",-18.90%,"$78,180,686 ",-17.30%,96,The Hunger Games: Mockingjay - Part 1
2013,49,Dec 6-8Post-Thanksgiving,"$83,941,456 ",-,"$94,535,353 ",-,96,Frozen
2013,49,Dec 6-8,"$83,941,456 ",22.80%,"$94,535,353 ",16.80%,96,Frozen
2012,49,Dec 7-9,"$68,367,628 ",7.10%,"$80,905,506 ",7.40%,119,Skyfall
2011,49,Dec 9-11,"$63,846,449 ",-14.90%,"$75,350,071 ",-12.70%,113,New Year's Eve
2010,49,Dec 3-5Post-Thanksgiving,"$75,004,741 ",-13%,"$86,325,286 ",-13.40%,119,Tangled
2010,49,Dec 3-5,"$75,004,741 ",-13%,"$86,325,286 ",-13.40%,119,Tangled
2009,49,Dec 4-6Post-Thanksgiving,"$86,237,399 ",17.40%,"$99,663,975 ",20.90%,113,The Blind Side
2009,49,Dec 4-6,"$86,237,399 ",17.40%,"$99,663,975 ",20.90%,113,The Blind Side
2008,49,Dec 5-7,"$73,440,488 ",7.80%,"$82,434,771 ",-0.90%,115,Four Christmases
2008,49,Dec 5-7Post-Thanksgiving,"$73,440,488 ",-,"$82,434,771 ",-,115,Four Christmases
2018,50,Dec 14-16,"$101,640,559 ",-62%,"$120,463,418 ",-56.70%,100,Spider-Man: Into the Spider-Verse
2017,50,Dec 15-17,"$267,186,366 ",273.30%,"$278,067,957 ",232.20%,86,Star Wars: Episode VIII - The Last Jedi
2016,50,Dec 9-11,"$71,566,771 ",7.30%,"$83,717,240 ",8.10%,114,Moana
2015,50,Dec 11-13,"$66,695,452 ",-9.60%,"$77,446,378 ",-7.80%,92,The Hunger Games: Mockingjay - Part 2
2014,50,Dec 12-14,"$73,808,138 ",-46.70%,"$84,013,268 ",-43.10%,100,Exodus: Gods and Kings
2013,50,Dec 13-15,"$138,369,003 ",9.10%,"$147,702,714 ",8%,94,The Hobbit: The Desolation of Smaug
2012,50,Dec 14-16,"$126,779,394 ",19.60%,"$136,705,051 ",15.60%,109,The Hobbit: An Unexpected Journey
2011,50,Dec 16-18,"$105,970,233 ",29.90%,"$118,308,106 ",28.80%,106,Sherlock Holmes: A Game of Shadows
2010,50,Dec 10-12,"$81,560,957 ",-1.30%,"$91,871,496 ",-5.30%,119,The Chronicles of Narnia: The Voyage of the Dawn Treader
2009,50,Dec 11-13,"$82,656,512 ",5.30%,"$97,058,602 ",5.80%,104,The Princess and the Frog
2008,50,Dec 12-14,"$78,517,597 ",-47.50%,"$91,696,655 ",-43.10%,105,The Day the Earth Stood Still
2018,51,Dec 21-25Christmas long wknd,"$260,363,074 ",10.10%,"$291,020,519 ",12.10%,60,Aquaman
2018,51,Dec 21-23,"$163,297,800 ",-0.60%,"$178,360,577 ",0.10%,76,Aquaman
2017,51,Dec 22-25Christmas long wknd,"$236,559,567 ",-,"$259,567,981 ",-,62,Star Wars: Episode VIII - The Last Jedi
2017,51,Dec 22-24,"$164,303,262 ",-19.30%,"$178,168,406 ",-15.80%,72,Star Wars: Episode VIII - The Last Jedi
2016,51,Dec 16-18,"$203,485,726 ",-32.80%,"$211,583,035 ",-32.50%,99,Rogue One: A Star Wars Story
2015,51,Dec 18-20,"$302,697,164 ",148%,"$313,284,961 ",131.90%,86,Star Wars: Episode VII - The Force Awakens
2014,51,Dec 19-21,"$122,059,385 ",-9.50%,"$135,107,375 ",-5.90%,78,The Hobbit: The Battle of the Five Armies
2013,51,Dec 20-22,"$134,837,792 ",39.70%,"$143,571,365 ",29.50%,80,The Hobbit: The Desolation of Smaug
2012,51,Dec 21-25Christmas long wknd,"$169,697,974 ",-1.40%,"$204,882,187 ",3.40%,53,The Hobbit: An Unexpected Journey
2012,51,Dec 21-23,"$96,513,334 ",-12.40%,"$110,869,479 ",-13.40%,95,The Hobbit: An Unexpected Journey
2011,51,Dec 23-25,"$110,230,829 ",-11.80%,"$128,078,515 ",-4.90%,82,Mission: Impossible - Ghost Protocol
2011,51,Dec 23-26Christmas long wknd,"$172,035,139 ",-,"$198,065,301 ",-,75,Mission: Impossible - Ghost Protocol
2010,51,Dec 17-19,"$124,993,526 ",-1.10%,"$134,672,257 ",-2.40%,112,TRON: Legacy
2009,51,Dec 18-20,"$126,343,342 ",63.20%,"$137,963,395 ",55.90%,96,Avatar
2008,51,Dec 19-21,"$77,424,767 ",-47.60%,"$88,506,299 ",-44.60%,92,Yes Man
2019,52,"Dec 28-Jan 1, 2019New Year's long wknd","$254,547,234 ",12.60%,"$288,846,349 ",14%,53,Aquaman
2018,52,"Dec 29-Jan 1, 2018New Year's long wknd","$226,045,913 ",-,"$253,441,683 ",-,67,Star Wars: Episode VIII - The Last Jedi
2018,52,Dec 28-30,"$165,718,403 ",-4.40%,"$188,210,389 ",-3%,78,Aquaman
2017,52,Dec 29-31,"$173,344,651 ",5%,"$194,096,602 ",7%,74,Star Wars: Episode VIII - The Last Jedi
2016,52,Dec 23-25,"$165,020,197 ",-39.60%,"$181,350,322 ",-38.80%,82,Rogue One: A Star Wars Story
2016,52,Dec 23-26Christmas long wknd,"$250,611,546 ",-,"$274,763,402 ",-,67,Rogue One: A Star Wars Story
2015,52,Dec 25-27,"$273,024,546 ",53%,"$296,447,415 ",41.50%,72,Star Wars: Episode VII - The Force Awakens
2014,52,Dec 26-28,"$178,499,687 ",6.40%,"$209,570,080 ",6.30%,83,The Hobbit: The Battle of the Five Armies
2013,52,"Dec 28-Jan 1, 2013New Year's long wknd","$237,786,853 ",37.20%,"$277,443,906 ",38.60%,54,The Hobbit: An Unexpected Journey
2013,52,Dec 27-29,"$167,837,974 ",8.10%,"$197,177,755 ",8.60%,81,The Hobbit: The Desolation of Smaug
